ID	SENTENCE	ENTITY_1	ENTITY_1_NAME	ENTITY_1_POS1	ENTITY_1_POS2	ENTITY_2	ENTITY_2_NAME	ENTITY_2_POS1	ENTITY_2_POS2	LABEL
a1378968.s6	Lithium also caused proteinuria and systolic hypertension in absence of glomerulosclerosis.	D008094	Lithium	0	7	D006973	hypertension	45	57	true
a1378968.s6	Lithium also caused proteinuria and systolic hypertension in absence of glomerulosclerosis.	D008094	Lithium	0	7	D005921	glomerulosclerosis	72	90	false
a1378968.s7	HP failed to accentuante progression of renal failure and in fact tended to increase GFR and decrease plasma creatinine levels in lithium pretreated rats.	D003404	creatinine	109	119	D051437	renal failure	40	53	false
a1378968.s7	HP failed to accentuante progression of renal failure and in fact tended to increase GFR and decrease plasma creatinine levels in lithium pretreated rats.	D008094	lithium	130	137	D051437	renal failure	40	53	false
a1378968.s10	The results indicate that Li-induced nephropathy, even when the GFR is only modestly reduced, is associated with proteinuria and arterial systolic hypertension.	D008094	Li	26	28	D007674	nephropathy	37	48	false
a1378968.s10	The results indicate that Li-induced nephropathy, even when the GFR is only modestly reduced, is associated with proteinuria and arterial systolic hypertension.	D008094	Li	26	28	D011507	proteinuria	113	124	true
a1378968.s10	The results indicate that Li-induced nephropathy, even when the GFR is only modestly reduced, is associated with proteinuria and arterial systolic hypertension.	D008094	Li	26	28	D006973	hypertension	147	159	true
a1601297.s0	Electrocardiographic evidence of myocardial injury in psychiatrically hospitalized cocaine abusers.	D003042	cocaine	83	90	D009202	myocardial injury	33	50	false
a1601297.s1	The electrocardiograms (ECG) of 99 cocaine-abusing patients were compared with the ECGs of 50 schizophrenic controls.	D003042	cocaine	35	42	D012559	schizophrenic	94	107	false
a1601297.s2	Eleven of the cocaine abusers and none of the controls had ECG evidence of significant myocardial injury defined as myocardial infarction, ischemia, and bundle branch block.	D003042	cocaine	14	21	D009202	myocardial injury	87	104	false
a1601297.s2	Eleven of the cocaine abusers and none of the controls had ECG evidence of significant myocardial injury defined as myocardial infarction, ischemia, and bundle branch block.	D003042	cocaine	14	21	D009203	myocardial infarction	116	137	true
a1601297.s2	Eleven of the cocaine abusers and none of the controls had ECG evidence of significant myocardial injury defined as myocardial infarction, ischemia, and bundle branch block.	D003042	cocaine	14	21	D007511	ischemia	139	147	false
a1601297.s2	Eleven of the cocaine abusers and none of the controls had ECG evidence of significant myocardial injury defined as myocardial infarction, ischemia, and bundle branch block.	D003042	cocaine	14	21	D002037	bundle branch block	153	172	true
a1967484.s0	Sulpiride-induced tardive dystonia.	D013469	Sulpiride	0	9	D004421	tardive dystonia	18	34	true
a1967484.s2	Although initially thought to be free of extrapyramidal side effects, sulpiride-induced tardive dyskinesia and parkinsonism have been reported occasionally.	D013469	sulpiride	70	79	D004409	tardive dyskinesia	88	106	false
a1967484.s2	Although initially thought to be free of extrapyramidal side effects, sulpiride-induced tardive dyskinesia and parkinsonism have been reported occasionally.	D013469	sulpiride	70	79	D010302	parkinsonism	111	123	false
a1967484.s3	We studied a 37-year-old man who developed persistent segmental dystonia within 2 months after starting sulpiride therapy.	D013469	sulpiride	104	113	D004421	dystonia	64	72	true
a1967484.s4	We could not find any previous reports of sulpiride-induced tardive dystonia.	D013469	sulpiride	42	51	D004421	tardive dystonia	60	76	true
a2234245.s0	Ocular and auditory toxicity in hemodialyzed patients receiving desferrioxamine.	D003676	desferrioxamine	64	79	D014786	Ocular and auditory toxicity	0	28	true
a2234245.s1	During an 18-month period of study 41 hemodialyzed patients receiving desferrioxamine (10-40 mg/kg BW/3 times weekly) for the first time were monitored for detection of audiovisual toxicity.	D003676	desferrioxamine	70	85	D014786	audiovisual toxicity	169	189	true
a2234245.s6	Desferrioxamine withdrawal resulted in a complete recovery of visual function in 1 patient and partial recovery in 3, and a complete reversal of hearing loss in 3 patients and partial recovery in 3.	D003676	Desferrioxamine	0	15	D034381	hearing loss	145	157	false
a2234245.s7	This toxicity appeared in patients receiving the higher doses of desferrioxamine or coincided with the normalization of ferritin or aluminium serum levels.	D003676	desferrioxamine	65	80	D064420	toxicity	5	13	false
a2234245.s7	This toxicity appeared in patients receiving the higher doses of desferrioxamine or coincided with the normalization of ferritin or aluminium serum levels.	-1	aluminium	132	141	D064420	toxicity	5	13	false
a2234245.s8	The data indicate that audiovisual toxicity is not an infrequent complication in hemodialyzed patients receiving desferrioxamine.	D003676	desferrioxamine	113	128	D014786	audiovisual toxicity	23	43	true
a2385256.s0	Myasthenia gravis presenting as weakness after magnesium administration.	D008274	magnesium	47	56	D009157	Myasthenia gravis	0	17	true
a2385256.s1	We studied a patient with no prior history of neuromuscular disease who became virtually quadriplegic after parenteral magnesium administration for preeclampsia.	D008274	magnesium	119	128	D009468	neuromuscular disease	46	67	false
a2385256.s1	We studied a patient with no prior history of neuromuscular disease who became virtually quadriplegic after parenteral magnesium administration for preeclampsia.	D008274	magnesium	119	128	D011782	quadriplegic	89	101	false
a2385256.s1	We studied a patient with no prior history of neuromuscular disease who became virtually quadriplegic after parenteral magnesium administration for preeclampsia.	D008274	magnesium	119	128	D011225	preeclampsia	148	160	false
a2385256.s7	Although paralysis after magnesium administration has been described in patients with known myasthenia gravis, it has not previously been reported to be the initial or only manifestation of the disease.	D008274	magnesium	25	34	D010243	paralysis	9	18	false
a2385256.s7	Although paralysis after magnesium administration has been described in patients with known myasthenia gravis, it has not previously been reported to be the initial or only manifestation of the disease.	D008274	magnesium	25	34	D009157	myasthenia gravis	92	109	true
a2385256.s8	Patients who are unusually sensitive to the neuromuscular effects of magnesium should be suspected of having an underlying disorder of neuromuscular transmission.	D008274	magnesium	69	78	D020511	disorder of neuromuscular transmission	123	161	false
a2505783.s1	Based on clinical data, indicating that chloroacetaldehyde (CAA) is an important metabolite of oxazaphosphorine cytostatics, an experimental study was carried out in order to elucidate the role of CAA in the development of hemorrhagic cystitis.	C004656	CAA	197	200	D006470	hemorrhagic cystitis	223	243	true
a2515254.s1	Twenty common migraine patients received a one sided frontotemporal application of nitroglycerin (10 patients) or placebo ointment (10 patients) in a double blind study.	D005996	nitroglycerin	83	96	D008881	migraine	14	22	true
a2515254.s2	Early onset migraine attacks were induced by nitroglycerin in seven out of 10 patients versus no patient in the placebo group.	D005996	nitroglycerin	45	58	D008881	migraine	12	20	true
a2515254.s3	Subsequently 20 migraine patients, who developed an early onset attack with frontotemporal nitroglycerin, received the drug in a second induction test at other body areas.	D005996	nitroglycerin	91	104	D008881	migraine	16	24	true
a2515254.s5	Thus the migraine-inducing effect of nitroglycerin seems to depend on direct stimulation of the habitual site of pain, suggesting that the frontotemporal region is of crucial importance in the development of a migraine crisis.	D005996	nitroglycerin	37	50	D008881	migraine	210	218	true
a2515254.s5	Thus the migraine-inducing effect of nitroglycerin seems to depend on direct stimulation of the habitual site of pain, suggesting that the frontotemporal region is of crucial importance in the development of a migraine crisis.	D005996	nitroglycerin	37	50	D010146	pain	113	117	false
a2572625.s0	Clotiazepam-induced acute hepatitis.	C084599	Clotiazepam	0	11	D056486	hepatitis	26	35	true
a2572625.s1	We report the case of a patient who developed acute hepatitis with extensive hepatocellular necrosis, 7 months after the onset of administration of clotiazepam, a thienodiazepine derivative.	C084599	clotiazepam	148	159	D056486	hepatitis	52	61	true
a2572625.s1	We report the case of a patient who developed acute hepatitis with extensive hepatocellular necrosis, 7 months after the onset of administration of clotiazepam, a thienodiazepine derivative.	C084599	clotiazepam	148	159	D047508	extensive hepatocellular necrosis	67	100	false
a2572625.s1	We report the case of a patient who developed acute hepatitis with extensive hepatocellular necrosis, 7 months after the onset of administration of clotiazepam, a thienodiazepine derivative.	C013295	thienodiazepine	163	178	D056486	hepatitis	52	61	false
a2572625.s1	We report the case of a patient who developed acute hepatitis with extensive hepatocellular necrosis, 7 months after the onset of administration of clotiazepam, a thienodiazepine derivative.	C013295	thienodiazepine	163	178	D047508	extensive hepatocellular necrosis	67	100	false
a2572625.s3	The administration of several benzodiazepines, chemically related to clotiazepam, did not interfere with recovery and did not induce any relapse of hepatitis.	D001569	benzodiazepines	30	45	D056486	hepatitis	148	157	false
a2572625.s3	The administration of several benzodiazepines, chemically related to clotiazepam, did not interfere with recovery and did not induce any relapse of hepatitis.	C084599	clotiazepam	69	80	D056486	hepatitis	148	157	true
a2572625.s4	This observation shows that clotiazepam can induce acute hepatitis and suggests that there is no cross hepatotoxicity between clotiazepam and several benzodiazepines.	C084599	clotiazepam	126	137	D056486	hepatotoxicity	103	117	true
a2572625.s4	This observation shows that clotiazepam can induce acute hepatitis and suggests that there is no cross hepatotoxicity between clotiazepam and several benzodiazepines.	D001569	benzodiazepines	150	165	D056486	hepatotoxicity	103	117	false
a2632720.s0	Arterial hypertension as a complication of prolonged ketoconazole treatment.	D007654	ketoconazole	53	65	D006973	hypertension	9	21	true
a2632720.s1	Two of 14 patients with Cushing's syndrome treated on a long-term basis with ketoconazole developed sustained hypertension.	D007654	ketoconazole	77	89	D003480	Cushing's syndrome	24	42	false
a2632720.s1	Two of 14 patients with Cushing's syndrome treated on a long-term basis with ketoconazole developed sustained hypertension.	D007654	ketoconazole	77	89	D006973	hypertension	110	122	true
a2632720.s2	In both cases normal plasma and urinary free cortisol levels had been achieved following ketoconazole therapy, yet continuous blood pressure monitoring demonstrated hypertension 31 (patient 1) and 52 weeks (patient 2) after treatment.	D006854	cortisol	45	53	D006973	hypertension	165	177	false
a2632720.s2	In both cases normal plasma and urinary free cortisol levels had been achieved following ketoconazole therapy, yet continuous blood pressure monitoring demonstrated hypertension 31 (patient 1) and 52 weeks (patient 2) after treatment.	D007654	ketoconazole	89	101	D006973	hypertension	165	177	true
a2632720.s5	Our findings show that long-term treatment with high doses of ketoconazole may induce enzyme blockade leading to mineralocorticoid-related hypertension.	D007654	ketoconazole	62	74	D006973	hypertension	139	151	true
a2696505.s0	A randomized comparison of labetalol and nitroprusside for induced hypotension.	D007741	labetalol	27	36	D007022	hypotension	67	78	true
a2696505.s0	A randomized comparison of labetalol and nitroprusside for induced hypotension.	D009599	nitroprusside	41	54	D007022	hypotension	67	78	true
a2696505.s1	In a randomized study, labetalol-induced hypotension and nitroprusside-induced hypotension were compared in 20 patients (10 in each group) scheduled for major orthopedic procedures.	D007741	labetalol	23	32	D007022	hypotension	79	90	true
a2696505.s1	In a randomized study, labetalol-induced hypotension and nitroprusside-induced hypotension were compared in 20 patients (10 in each group) scheduled for major orthopedic procedures.	D009599	nitroprusside	57	70	D007022	hypotension	79	90	true
a2696505.s3	Nitroprusside infusion was associated with a significant (p less than 0.05) increase in heart rate and cardiac output; rebound hypertension was observed in three patients after discontinuation of nitroprusside.	D009599	nitroprusside	196	209	D016534	increase in heart rate and cardiac output	76	117	true
a2696505.s3	Nitroprusside infusion was associated with a significant (p less than 0.05) increase in heart rate and cardiac output; rebound hypertension was observed in three patients after discontinuation of nitroprusside.	D009599	nitroprusside	196	209	D006973	hypertension	127	139	false
a2924746.s0	Chronic carbamazepine treatment in the rat: efficacy, toxicity, and effect on plasma and tissue folate concentrations.	D002220	carbamazepine	8	21	D064420	toxicity	54	62	false
a2924746.s0	Chronic carbamazepine treatment in the rat: efficacy, toxicity, and effect on plasma and tissue folate concentrations.	D005492	folate	96	102	D064420	toxicity	54	62	false
a2924746.s4	In the course of developing this model, a common vehicle, propylene glycol, by itself in high doses, was found to exhibit protective properties against induced seizures and inhibited weight gain.	D019946	propylene glycol	58	74	D012640	seizures	160	168	false
a2924746.s4	In the course of developing this model, a common vehicle, propylene glycol, by itself in high doses, was found to exhibit protective properties against induced seizures and inhibited weight gain.	D019946	propylene glycol	58	74	D015430	weight gain	183	194	false
a2924746.s5	Seizures induced by hexafluorodiethyl ether (HFDE) were also found to be a more sensitive measure of protection by CBZ than seizures induced by maximal electroshock (MES).	D005481	HFDE	45	49	D012640	seizures	124	132	true
a2924746.s5	Seizures induced by hexafluorodiethyl ether (HFDE) were also found to be a more sensitive measure of protection by CBZ than seizures induced by maximal electroshock (MES).	D002220	CBZ	115	118	D012640	seizures	124	132	false
a2924746.s6	Oral administration of CBZ as an aqueous suspension every 8 h at a dose of 250 mg/kg was continuously protective against HFDE-induced seizures and was minimally toxic as measured by weight gain over 8 weeks of treatment.	D002220	CBZ	23	26	D012640	seizures	134	142	false
a2924746.s6	Oral administration of CBZ as an aqueous suspension every 8 h at a dose of 250 mg/kg was continuously protective against HFDE-induced seizures and was minimally toxic as measured by weight gain over 8 weeks of treatment.	D002220	CBZ	23	26	D015430	weight gain	182	193	false
a2924746.s6	Oral administration of CBZ as an aqueous suspension every 8 h at a dose of 250 mg/kg was continuously protective against HFDE-induced seizures and was minimally toxic as measured by weight gain over 8 weeks of treatment.	D005481	HFDE	121	125	D012640	seizures	134	142	true
a2924746.s6	Oral administration of CBZ as an aqueous suspension every 8 h at a dose of 250 mg/kg was continuously protective against HFDE-induced seizures and was minimally toxic as measured by weight gain over 8 weeks of treatment.	D005481	HFDE	121	125	D015430	weight gain	182	193	false
a3409645.s4	Impotence was more common among male patients than controls and was found to be associated with co-morbidity and the taking of methotrexate.	D008727	methotrexate	127	139	D007172	Impotence	0	9	true
a3425586.s0	Dapsone-associated Heinz body hemolytic anemia in a Cambodian woman with hemoglobin E trait.	D003622	Dapsone	0	7	D000743	hemolytic anemia	30	46	true
a3425586.s1	A Cambodian woman with hemoglobin E trait (AE) and leprosy developed a Heinz body hemolytic anemia while taking a dose of dapsone (50 mg/day) not usually associated with clinical hemolysis.	D003622	dapsone	122	129	D007918	leprosy	51	58	false
a3425586.s1	A Cambodian woman with hemoglobin E trait (AE) and leprosy developed a Heinz body hemolytic anemia while taking a dose of dapsone (50 mg/day) not usually associated with clinical hemolysis.	D003622	dapsone	122	129	D000743	hemolytic anemia	82	98	true
a3425586.s1	A Cambodian woman with hemoglobin E trait (AE) and leprosy developed a Heinz body hemolytic anemia while taking a dose of dapsone (50 mg/day) not usually associated with clinical hemolysis.	D003622	dapsone	122	129	D006461	hemolysis	179	188	false
a3425586.s6	Thus, AE RBCs appear to have an increased sensitivity to oxidant stress both in vitro and in vivo, since dapsone does not cause hemolytic anemia at this dose in hematologically normal individuals.	D003622	dapsone	105	112	D000743	hemolytic anemia	128	144	true
a3437726.s10	Therefore, patients belonging to the poor-metabolizer phenotype of sparteine/debrisoquine polymorphism in drug metabolism, which constitutes 6.4% of the German population, may experience adverse drug reactions when treated with standard doses of one of these drugs alone.	D013034	sparteine	67	76	D064420	adverse drug reactions	187	209	false
a3437726.s10	Therefore, patients belonging to the poor-metabolizer phenotype of sparteine/debrisoquine polymorphism in drug metabolism, which constitutes 6.4% of the German population, may experience adverse drug reactions when treated with standard doses of one of these drugs alone.	D003647	debrisoquine	77	89	D064420	adverse drug reactions	187	209	false
a3780846.s0	On the mechanisms of the development of tolerance to the muscular rigidity produced by morphine in rats.	D009020	morphine	87	95	D009127	muscular rigidity	57	74	true
a3780846.s1	The development of tolerance to the muscular rigidity produced by morphine was studied in rats.	D009020	morphine	66	74	D009127	muscular rigidity	36	53	true
a3780846.s2	Saline-pretreated controls given a test dose of morphine (20 mg/kg i.p.) showed a pronounced rigidity recorded as tonic activity in the electromyogram.	D009020	morphine	48	56	D009127	rigidity	93	101	true
a3780846.s3	Rats treated for 11 days with morphine and withdrawn for 36-40 h showed differences in the development of tolerance: about half of the animals showed a rigidity after the test dose of morphine that was not significantly less than in the controls and were akinetic (A group).	D009020	morphine	184	192	D009127	rigidity	152	160	true
a3780846.s3	Rats treated for 11 days with morphine and withdrawn for 36-40 h showed differences in the development of tolerance: about half of the animals showed a rigidity after the test dose of morphine that was not significantly less than in the controls and were akinetic (A group).	D009020	morphine	184	192	D018476	akinetic	255	263	true
a3780846.s6	In a further series of experiments, haloperidol (0.2 mg/kg i.p.) was used in order to block the dopaminergic activation and to estimate the real degree of the tolerance to the rigidity without any dopaminergic interference.	D006220	haloperidol	36	47	D009127	rigidity	176	184	true
a3780846.s7	Haloperidol enhanced the rigidity in the A group.	D006220	Haloperidol	0	11	D009127	rigidity	25	33	true
a3780846.s9	The results suggest that rigidity, which is assumed to be due to an action of morphine in the striatum, can be antagonized by another process leading to dopaminergic activation in the striatum.	D009020	morphine	78	86	D009127	rigidity	25	33	true
a3800626.s0	Compression neuropathy of the radial nerve due to pentazocine-induced fibrous myopathy.	D010423	pentazocine	50	61	D009408	Compression neuropathy of the radial nerve	0	42	true
a3800626.s0	Compression neuropathy of the radial nerve due to pentazocine-induced fibrous myopathy.	D010423	pentazocine	50	61	D005355	fibrous myopathy	70	86	true
a3800626.s1	Fibrous myopathy is a common, well-known side effect of repeated pentazocine injection.	D010423	pentazocine	65	76	D005355	Fibrous myopathy	0	16	true
a3800626.s2	However, compression neuropathy due to fibrotic muscle affected by pentazocine-induced myopathy has not previously been reported.	D010423	pentazocine	67	78	D009408	compression neuropathy	9	31	true
a3800626.s2	However, compression neuropathy due to fibrotic muscle affected by pentazocine-induced myopathy has not previously been reported.	D010423	pentazocine	67	78	D009135	myopathy	87	95	true
a3800626.s3	In a 37-year-old woman with documented pentazocine-induced fibrous myopathy of triceps and deltoid muscles bilaterally and a three-week history of right wrist drop, electrodiagnostic examination showed a severe but partial lesion of the right radial nerve distal to the branches to the triceps, in addition to the fibrous myopathy.	D010423	pentazocine	39	50	D005355	fibrous myopathy	314	330	true
a3827439.s0	Recurrent reversible acute renal failure from amphotericin.	D000666	amphotericin	46	58	D058186	acute renal failure	21	40	true
a3827439.s1	A patient with cryptogenic cirrhosis and disseminated sporotrichosis developed acute renal failure immediately following the administration of amphotericin B on four separate occasions.	D000666	amphotericin B	143	157	D005355	cirrhosis	27	36	false
a3827439.s1	A patient with cryptogenic cirrhosis and disseminated sporotrichosis developed acute renal failure immediately following the administration of amphotericin B on four separate occasions.	D000666	amphotericin B	143	157	D013174	sporotrichosis	54	68	false
a3827439.s1	A patient with cryptogenic cirrhosis and disseminated sporotrichosis developed acute renal failure immediately following the administration of amphotericin B on four separate occasions.	D000666	amphotericin B	143	157	D058186	acute renal failure	79	98	true
a3827439.s3	We propose that amphotericin, in the setting of reduced effective arterial volume, may activate tubuloglomerular feedback, thereby contributing to acute renal failure.	D000666	amphotericin	16	28	D058186	acute renal failure	147	166	true
a6286738.s0	Vitamin D3 toxicity in dairy cows.	D002762	Vitamin D3	0	10	D064420	toxicity	11	19	false
a6286738.s1	Large parenteral doses of vitamin D3 (15 to 17.5 x 10(6) IU vitamin D3) were associated with prolonged hypercalcemia, hyperphosphatemia, and large increases of vitamin D3 and its metabolites in the blood plasma of nonlactating nonpregnant and pregnant Jersey cows.	D002762	vitamin D3	160	170	D006934	hypercalcemia	103	116	true
a6286738.s1	Large parenteral doses of vitamin D3 (15 to 17.5 x 10(6) IU vitamin D3) were associated with prolonged hypercalcemia, hyperphosphatemia, and large increases of vitamin D3 and its metabolites in the blood plasma of nonlactating nonpregnant and pregnant Jersey cows.	D002762	vitamin D3	160	170	D054559	hyperphosphatemia	118	135	true
a6286738.s3	None of the cows treated with vitamin D3 showed signs of milk fever during the peripartal period; however, 22% of the control cows developed clinical signs of milk fever during this period.	D002762	vitamin D3	30	40	D010319	milk fever	159	169	false
a6286738.s4	Signs of vitamin D3 toxicity were not observed in nonlactating nonpregnant cows; however, pregnant cows commonly developed severe signs of vitamin D3 toxicity and 10 of 17 cows died.	D002762	vitamin D3	139	149	D064420	toxicity	150	158	false
a6286738.s6	Because of the extreme toxicity of vitamin D3 in pregnant Jersey cows and the low margin of safety between doses of vitamin D3 that prevent milk fever and doses that induce milk fever, we concluded that vitamin D3 cannot be used practically to prevent milk fever when injected several weeks prepartum.	D002762	vitamin D3	203	213	D064420	toxicity	23	31	false
a6286738.s6	Because of the extreme toxicity of vitamin D3 in pregnant Jersey cows and the low margin of safety between doses of vitamin D3 that prevent milk fever and doses that induce milk fever, we concluded that vitamin D3 cannot be used practically to prevent milk fever when injected several weeks prepartum.	D002762	vitamin D3	203	213	D010319	milk fever	252	262	false
a6773726.s0	Provocation of postural hypotension by nitroglycerin in diabetic autonomic neuropathy?	D005996	nitroglycerin	39	52	D007022	hypotension	24	35	true
a6773726.s0	Provocation of postural hypotension by nitroglycerin in diabetic autonomic neuropathy?	D005996	nitroglycerin	39	52	D003929	diabetic autonomic neuropathy	56	85	false
a6773726.s1	The effect of nitroglycerin on heart rate and systolic blood pressure was compared in 5 normal subjects, 12 diabetic subjects without autonomic neuropathy, and 5 diabetic subjects with autonomic neuropathy.	D005996	nitroglycerin	14	27	D003920	diabetic	162	170	false
a6773726.s1	The effect of nitroglycerin on heart rate and systolic blood pressure was compared in 5 normal subjects, 12 diabetic subjects without autonomic neuropathy, and 5 diabetic subjects with autonomic neuropathy.	D005996	nitroglycerin	14	27	D009422	autonomic neuropathy	185	205	false
a6773726.s2	The magnitude and time course of the increase in heart rate and the decrease in systolic blood pressure after nitroglycerin were similar in the normal and diabetic subjects without autonomic neuropathy, whereas a lesser increase in heart rate and a greater decrease in systolic blood pressure occurred in the diabetic subjects with autonomic neuropathy.	D005996	nitroglycerin	110	123	D003920	diabetic	309	317	false
a6773726.s2	The magnitude and time course of the increase in heart rate and the decrease in systolic blood pressure after nitroglycerin were similar in the normal and diabetic subjects without autonomic neuropathy, whereas a lesser increase in heart rate and a greater decrease in systolic blood pressure occurred in the diabetic subjects with autonomic neuropathy.	D005996	nitroglycerin	110	123	D009422	autonomic neuropathy	332	352	false
a7265370.s0	Triamterene nephrolithiasis complicating dyazide therapy.	D014223	Triamterene	0	11	D053040	nephrolithiasis	12	27	true
a7265370.s0	Triamterene nephrolithiasis complicating dyazide therapy.	C020743	dyazide	41	48	D053040	nephrolithiasis	12	27	false
a7265370.s1	A case of triamterene nephrolithiasis is reported in a man after 4 years of hydrochlorothiazide-triamterene therapy for hypertension.	D014223	triamterene	10	21	D053040	nephrolithiasis	22	37	true
a7265370.s1	A case of triamterene nephrolithiasis is reported in a man after 4 years of hydrochlorothiazide-triamterene therapy for hypertension.	D014223	triamterene	10	21	D006973	hypertension	120	132	false
a7265370.s1	A case of triamterene nephrolithiasis is reported in a man after 4 years of hydrochlorothiazide-triamterene therapy for hypertension.	C020743	hydrochlorothiazide-triamterene	76	107	D053040	nephrolithiasis	22	37	false
a7265370.s1	A case of triamterene nephrolithiasis is reported in a man after 4 years of hydrochlorothiazide-triamterene therapy for hypertension.	C020743	hydrochlorothiazide-triamterene	76	107	D006973	hypertension	120	132	false
a7265370.s3	Factors affecting triamterene nephrolithiasis are discussed and 2 previously reported cases are reviewed.	D014223	triamterene	18	29	D053040	nephrolithiasis	30	45	true
a7834920.s0	Crescentic fibrillary glomerulonephritis associated with intermittent rifampin therapy for pulmonary tuberculosis.	D012293	rifampin	70	78	D005921	glomerulonephritis	22	40	true
a7834920.s0	Crescentic fibrillary glomerulonephritis associated with intermittent rifampin therapy for pulmonary tuberculosis.	D012293	rifampin	70	78	D014397	pulmonary tuberculosis	91	113	false
a7834920.s1	This case study reveals an unusual finding of rapidly proliferative crescentic glomerulonephritis in a patient treated with rifampin who had no other identifiable causes for developing this disease.	D012293	rifampin	124	132	D005921	glomerulonephritis	79	97	true
a7834920.s2	This patient underwent a 10-month regimen of rifampin and isoniazid for pulmonary tuberculosis and was discovered to have developed signs of severe renal failure five weeks after completion of therapy.	D012293	rifampin	45	53	D014397	pulmonary tuberculosis	72	94	false
a7834920.s2	This patient underwent a 10-month regimen of rifampin and isoniazid for pulmonary tuberculosis and was discovered to have developed signs of severe renal failure five weeks after completion of therapy.	D012293	rifampin	45	53	D051437	renal failure	148	161	true
a7834920.s2	This patient underwent a 10-month regimen of rifampin and isoniazid for pulmonary tuberculosis and was discovered to have developed signs of severe renal failure five weeks after completion of therapy.	D007538	isoniazid	58	67	D014397	pulmonary tuberculosis	72	94	false
a7834920.s2	This patient underwent a 10-month regimen of rifampin and isoniazid for pulmonary tuberculosis and was discovered to have developed signs of severe renal failure five weeks after completion of therapy.	D007538	isoniazid	58	67	D051437	renal failure	148	161	false
a7834920.s5	This report documents the unusual occurrence of rapidly progressive glomerulonephritis with crescents and fibrillar glomerulonephritis in a patient treated with rifampin.	D012293	rifampin	161	169	D005921	glomerulonephritis	116	134	true
a7881871.s0	Time course of lipid peroxidation in puromycin aminonucleoside-induced nephropathy.	D011692	puromycin aminonucleoside	37	62	D007674	nephropathy	71	82	true
a7881871.s1	Reactive oxygen species have been implicated in the pathogenesis of acute puromycin aminonucleoside (PAN)-induced nephropathy, with antioxidants significantly reducing the proteinuria.	D010100	oxygen	9	15	D007674	nephropathy	114	125	false
a7881871.s1	Reactive oxygen species have been implicated in the pathogenesis of acute puromycin aminonucleoside (PAN)-induced nephropathy, with antioxidants significantly reducing the proteinuria.	D010100	oxygen	9	15	D011507	proteinuria	172	183	false
